defined_class	defined_class_label	external	external_label
http://purl.obolibrary.org/obo/NCIT_C32158	Atlanto-Occipital Joint	http://purl.obolibrary.org/obo/UBERON_0000220	atlanto-occipital joint
http://purl.obolibrary.org/obo/NCIT_C32160	Atrioventricular Bundle	http://purl.obolibrary.org/obo/UBERON_0002353	atrioventricular bundle
http://purl.obolibrary.org/obo/NCIT_C32161	Atrioventricular Node	http://purl.obolibrary.org/obo/UBERON_0002352	atrioventricular node
http://purl.obolibrary.org/obo/NCIT_C52712	Auditory Cortex	http://purl.obolibrary.org/obo/UBERON_0001393	auditory cortex
http://purl.obolibrary.org/obo/NCIT_C32164	Auditory Ossicle	http://purl.obolibrary.org/obo/UBERON_0001686	auditory ossicle bone
http://purl.obolibrary.org/obo/NCIT_C12889	Auditory System	http://purl.obolibrary.org/obo/UBERON_0016490	auditory system
http://purl.obolibrary.org/obo/NCIT_C32165	Auricle	http://purl.obolibrary.org/obo/UBERON_0001757	pinna
http://purl.obolibrary.org/obo/NCIT_C52849	Auricular Artery	http://purl.obolibrary.org/obo/UBERON_0009655	auricular artery
http://purl.obolibrary.org/obo/NCIT_C77673	Auricular Vein	http://purl.obolibrary.org/obo/UBERON_0006197	auricular vein
http://purl.obolibrary.org/obo/NCIT_C12720	Autonomic Ganglion	http://purl.obolibrary.org/obo/UBERON_0001805	autonomic ganglion
http://purl.obolibrary.org/obo/NCIT_C12673	Autonomic Nervous System	http://purl.obolibrary.org/obo/UBERON_0002410	autonomic nervous system
http://purl.obolibrary.org/obo/NCIT_C32172	Axial Skeleton	http://purl.obolibrary.org/obo/UBERON_0005944	axial skeleton plus cranial skeleton
http://purl.obolibrary.org/obo/NCIT_C12674	Axilla	http://purl.obolibrary.org/obo/UBERON_0009472	axilla
http://purl.obolibrary.org/obo/NCIT_C32169	Axillary Artery	http://purl.obolibrary.org/obo/UBERON_0001394	axillary artery
http://purl.obolibrary.org/obo/NCIT_C12904	Axillary Lymph Node	http://purl.obolibrary.org/obo/UBERON_0001097	axillary lymph node
http://purl.obolibrary.org/obo/NCIT_C52817	Axillary Nerve	http://purl.obolibrary.org/obo/UBERON_0001493	axillary nerve
http://purl.obolibrary.org/obo/NCIT_C12305	Axillary Tail of the Breast	http://purl.obolibrary.org/obo/UBERON_0035289	axillary tail of breast
http://purl.obolibrary.org/obo/NCIT_C32171	Axillary Vein	http://purl.obolibrary.org/obo/UBERON_0000985	axillary vein
http://purl.obolibrary.org/obo/NCIT_C53029	Azygos Vein	http://purl.obolibrary.org/obo/UBERON_0001594	azygos vein
http://purl.obolibrary.org/obo/NCIT_C13062	Back	http://purl.obolibrary.org/obo/UBERON_0001137	dorsum
http://purl.obolibrary.org/obo/NCIT_C12447	Basal Ganglia	http://purl.obolibrary.org/obo/UBERON_0010011	collection of basal ganglia
http://purl.obolibrary.org/obo/NCIT_C32189	Basal Layer of the Endometrium	http://purl.obolibrary.org/obo/UBERON_0022355	basal layer of endometrium
http://purl.obolibrary.org/obo/NCIT_C34111	Basal Plate	http://purl.obolibrary.org/obo/UBERON_0004064	neural tube basal plate
http://purl.obolibrary.org/obo/NCIT_C13088	Base of the Prostate	http://purl.obolibrary.org/obo/UBERON_0035331	base of prostate
http://purl.obolibrary.org/obo/NCIT_C12676	Basilar Artery	http://purl.obolibrary.org/obo/UBERON_0001633	basilar artery
http://purl.obolibrary.org/obo/NCIT_C32195	Basilar Artery Branch	http://purl.obolibrary.org/obo/UBERON_0035489	branch of basilar artery
http://purl.obolibrary.org/obo/NCIT_C32197	Basilic Vein	http://purl.obolibrary.org/obo/UBERON_0001411	basilic vein
http://purl.obolibrary.org/obo/NCIT_C32200	Biceps	http://purl.obolibrary.org/obo/UBERON_0001507	biceps brachii
http://purl.obolibrary.org/obo/NCIT_C53147	Biceps Femoris	http://purl.obolibrary.org/obo/UBERON_0001374	biceps femoris
http://purl.obolibrary.org/obo/NCIT_C13192	Bile	http://purl.obolibrary.org/obo/UBERON_0001970	bile
http://purl.obolibrary.org/obo/NCIT_C32202	Bile Canaliculus	http://purl.obolibrary.org/obo/UBERON_0001283	bile canaliculus
http://purl.obolibrary.org/obo/NCIT_C12376	Bile Duct	http://purl.obolibrary.org/obo/UBERON_0002394	bile duct
http://purl.obolibrary.org/obo/NCIT_C43616	Bile Duct Epithelium	http://purl.obolibrary.org/obo/UBERON_0004820	bile duct epithelium
http://purl.obolibrary.org/obo/NCIT_C12414	Bladder	http://purl.obolibrary.org/obo/UBERON_0001255	urinary bladder
http://purl.obolibrary.org/obo/NCIT_C48939	Bladder Fundus	http://purl.obolibrary.org/obo/UBERON_0006082	fundus of urinary bladder
http://purl.obolibrary.org/obo/NCIT_C48940	Bladder Lamina Propria	http://purl.obolibrary.org/obo/UBERON_0001261	lamina propria of urinary bladder
http://purl.obolibrary.org/obo/NCIT_C32205	Bladder Mucosa	http://purl.obolibrary.org/obo/UBERON_0001259	mucosa of urinary bladder
http://purl.obolibrary.org/obo/NCIT_C32206	Bladder Muscular Coat	http://purl.obolibrary.org/obo/UBERON_0012378	muscle layer of urinary bladder
http://purl.obolibrary.org/obo/NCIT_C32207	Bladder Muscularis Mucosa	http://purl.obolibrary.org/obo/UBERON_0006912	urinary bladder muscularis mucosa
http://purl.obolibrary.org/obo/NCIT_C12336	Bladder Neck	http://purl.obolibrary.org/obo/UBERON_0001258	neck of urinary bladder
http://purl.obolibrary.org/obo/NCIT_C12331	Bladder Trigone	http://purl.obolibrary.org/obo/UBERON_0001257	trigone of urinary bladder
http://purl.obolibrary.org/obo/NCIT_C32211	Bladder Urothelium	http://purl.obolibrary.org/obo/UBERON_0004645	urinary bladder urothelium
http://purl.obolibrary.org/obo/NCIT_C48941	Bladder Wall	http://purl.obolibrary.org/obo/UBERON_0001256	wall of urinary bladder
http://purl.obolibrary.org/obo/NCIT_C13739	Blastocyst	http://purl.obolibrary.org/obo/UBERON_0000358	blastocyst
http://purl.obolibrary.org/obo/NCIT_C12434	Blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/NCIT_C32212	Blood Capillary	http://purl.obolibrary.org/obo/UBERON_0001982	capillary
http://purl.obolibrary.org/obo/NCIT_C34113	Blood Island	http://purl.obolibrary.org/obo/UBERON_0003061	blood island
http://purl.obolibrary.org/obo/NCIT_C12679	Blood Vessel	http://purl.obolibrary.org/obo/UBERON_0001981	blood vessel
